task,model,label,rows_compared,accuracy,precision,recall,f1,support,predicted_positive,tp,tn,fp,fn
shopping_Amazon_chat,balanced_fewshot/gemma,CE,467,0.8201284796573876,0.7529411764705882,1.0,0.8590604026845637,256.0,340.0,256.0,127.0,84.0,0.0
shopping_Amazon_chat,balanced_fewshot/gemma,BE,467,0.8779443254817987,0.8382838283828383,0.9694656488549618,0.8991150442477875,262.0,303.0,254.0,156.0,49.0,8.0
shopping_Amazon_chat,balanced_fewshot/gemma,CI,467,0.9828693790149893,0.3333333333333333,0.14285714285714285,0.2,7.0,3.0,1.0,458.0,2.0,6.0
shopping_Amazon_chat,balanced_fewshot/gemma,BI,467,0.9828693790149893,0.5,0.125,0.2,8.0,2.0,1.0,458.0,1.0,7.0
shopping_Amazon_chat,balanced_fewshot/gpt-oss,CE,467,0.8029978586723768,0.7733333333333333,0.90625,0.8345323741007193,256.0,300.0,232.0,143.0,68.0,24.0
shopping_Amazon_chat,balanced_fewshot/gpt-oss,BE,467,0.8629550321199143,0.8694029850746269,0.8893129770992366,0.879245283018868,262.0,268.0,233.0,170.0,35.0,29.0
shopping_Amazon_chat,balanced_fewshot/gpt-oss,CI,467,0.9635974304068522,0.0,0.0,0.0,7.0,10.0,0.0,450.0,10.0,7.0
shopping_Amazon_chat,balanced_fewshot/gpt-oss,BI,467,0.9850107066381156,1.0,0.125,0.2222222222222222,8.0,1.0,1.0,459.0,0.0,7.0
shopping_Amazon_chat,balanced_fewshot/nemotron,CE,467,0.7901498929336188,0.8110236220472441,0.8046875,0.8078431372549021,256.0,254.0,206.0,163.0,48.0,50.0
shopping_Amazon_chat,balanced_fewshot/nemotron,BE,467,0.7730192719486081,0.8939393939393939,0.6755725190839694,0.7695652173913042,262.0,198.0,177.0,184.0,21.0,85.0
shopping_Amazon_chat,balanced_fewshot/nemotron,CI,467,0.9807280513918629,0.0,0.0,0.0,7.0,2.0,0.0,458.0,2.0,7.0
shopping_Amazon_chat,balanced_fewshot/nemotron,BI,467,0.974304068522484,0.0,0.0,0.0,8.0,4.0,0.0,455.0,4.0,8.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gemma,CE,467,0.860813704496788,0.7975077881619937,1.0,0.8873483535528596,256.0,321.0,256.0,146.0,65.0,0.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gemma,BE,467,0.8993576017130621,0.8798586572438163,0.950381679389313,0.9137614678899082,262.0,283.0,249.0,171.0,34.0,13.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gemma,CI,467,0.9785867237687366,0.38461538461538464,0.7142857142857143,0.5,7.0,13.0,5.0,452.0,8.0,2.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gemma,BI,467,0.9764453961456103,0.36363636363636365,0.5,0.4210526315789474,8.0,11.0,4.0,452.0,7.0,4.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gpt-oss,CE,467,0.7516059957173448,0.782258064516129,0.7578125,0.7698412698412698,256.0,248.0,194.0,157.0,54.0,62.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gpt-oss,BE,467,0.8372591006423983,0.9008620689655172,0.7977099236641222,0.8461538461538461,262.0,232.0,209.0,182.0,23.0,53.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gpt-oss,CI,467,0.9764453961456103,0.16666666666666666,0.14285714285714285,0.15384615384615383,7.0,6.0,1.0,455.0,5.0,6.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/gpt-oss,BI,467,0.9721627408993576,0.0,0.0,0.0,8.0,5.0,0.0,454.0,5.0,8.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/nemotron,CE,467,0.6595289079229122,0.8299319727891157,0.4765625,0.6054590570719602,256.0,147.0,122.0,186.0,25.0,134.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/nemotron,BE,467,0.6616702355460385,0.9262295081967213,0.4312977099236641,0.5885416666666667,262.0,122.0,113.0,196.0,9.0,149.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/nemotron,CI,467,0.9700214132762313,0.1111111111111111,0.14285714285714285,0.125,7.0,9.0,1.0,452.0,8.0,6.0
shopping_Amazon_chat,comparative_counterexamples_fewshot/nemotron,BI,467,0.9379014989293362,0.1111111111111111,0.375,0.17142857142857143,8.0,27.0,3.0,435.0,24.0,5.0
shopping_Amazon_chat,strict_evidence_fewshot/gemma,CE,467,0.8394004282655246,0.7767584097859327,0.9921875,0.8713550600343053,256.0,327.0,254.0,138.0,73.0,2.0
shopping_Amazon_chat,strict_evidence_fewshot/gemma,BE,467,0.8008565310492506,0.9470899470899471,0.683206106870229,0.7937915742793792,262.0,189.0,179.0,195.0,10.0,83.0
shopping_Amazon_chat,strict_evidence_fewshot/gemma,CI,467,0.9850107066381156,0.0,0.0,0.0,7.0,0.0,0.0,460.0,0.0,7.0
shopping_Amazon_chat,strict_evidence_fewshot/gemma,BI,467,0.9828693790149893,0.0,0.0,0.0,8.0,0.0,0.0,459.0,0.0,8.0
shopping_Amazon_chat,strict_evidence_fewshot/gpt-oss,CE,467,0.8094218415417559,0.7634069400630915,0.9453125,0.8446771378708551,256.0,317.0,242.0,136.0,75.0,14.0
shopping_Amazon_chat,strict_evidence_fewshot/gpt-oss,BE,467,0.7580299785867237,0.9515151515151515,0.5992366412213741,0.7353629976580797,262.0,165.0,157.0,197.0,8.0,105.0
shopping_Amazon_chat,strict_evidence_fewshot/gpt-oss,CI,467,0.9785867237687366,0.0,0.0,0.0,7.0,3.0,0.0,457.0,3.0,7.0
shopping_Amazon_chat,strict_evidence_fewshot/gpt-oss,BI,467,0.9828693790149893,0.0,0.0,0.0,8.0,0.0,0.0,459.0,0.0,8.0
shopping_Amazon_chat,strict_evidence_fewshot/nemotron,CE,467,0.6723768736616702,0.8159509202453987,0.51953125,0.6348448687350835,256.0,163.0,133.0,181.0,30.0,123.0
shopping_Amazon_chat,strict_evidence_fewshot/nemotron,BE,467,0.6638115631691649,0.92,0.4389312977099237,0.5943152454780362,262.0,125.0,115.0,195.0,10.0,147.0
shopping_Amazon_chat,strict_evidence_fewshot/nemotron,CI,467,0.9550321199143469,0.0,0.0,0.0,7.0,14.0,0.0,446.0,14.0,7.0
shopping_Amazon_chat,strict_evidence_fewshot/nemotron,BI,467,0.9807280513918629,0.0,0.0,0.0,8.0,1.0,0.0,458.0,1.0,8.0
shopping_ebay_chat,balanced_fewshot/gemma,CE,547,0.8409506398537477,0.7786885245901639,0.979381443298969,0.867579908675799,291.0,366.0,285.0,175.0,81.0,6.0
shopping_ebay_chat,balanced_fewshot/gemma,BE,547,0.8482632541133455,0.7679083094555874,0.9925925925925926,0.8659127625201939,270.0,349.0,268.0,196.0,81.0,2.0
shopping_ebay_chat,balanced_fewshot/gemma,CI,547,0.979890310786106,0.0,0.0,0.0,5.0,6.0,0.0,536.0,6.0,5.0
shopping_ebay_chat,balanced_fewshot/gemma,BI,547,0.9872029250457038,0.0,0.0,0.0,4.0,3.0,0.0,540.0,3.0,4.0
shopping_ebay_chat,balanced_fewshot/gpt-oss,CE,547,0.850091407678245,0.8046647230320699,0.9484536082474226,0.8706624605678234,291.0,343.0,276.0,189.0,67.0,15.0
shopping_ebay_chat,balanced_fewshot/gpt-oss,BE,547,0.8519195612431444,0.8292682926829268,0.8814814814814815,0.8545780969479354,270.0,287.0,238.0,228.0,49.0,32.0
shopping_ebay_chat,balanced_fewshot/gpt-oss,CI,547,0.9744058500914077,0.09090909090909091,0.2,0.12500000000000003,5.0,11.0,1.0,532.0,10.0,4.0
shopping_ebay_chat,balanced_fewshot/gpt-oss,BI,547,0.9890310786106032,0.0,0.0,0.0,4.0,2.0,0.0,541.0,2.0,4.0
shopping_ebay_chat,balanced_fewshot/nemotron,CE,547,0.7696526508226691,0.7894736842105263,0.7731958762886598,0.78125,291.0,285.0,225.0,196.0,60.0,66.0
shopping_ebay_chat,balanced_fewshot/nemotron,BE,547,0.7586837294332724,0.8415841584158416,0.6296296296296297,0.7203389830508474,270.0,202.0,170.0,245.0,32.0,100.0
shopping_ebay_chat,balanced_fewshot/nemotron,CI,547,0.9817184643510055,0.0,0.0,0.0,5.0,5.0,0.0,537.0,5.0,5.0
shopping_ebay_chat,balanced_fewshot/nemotron,BI,547,0.9872029250457038,0.0,0.0,0.0,4.0,3.0,0.0,540.0,3.0,4.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gemma,CE,547,0.8592321755027422,0.8147058823529412,0.9518900343642611,0.87797147385103,291.0,340.0,277.0,193.0,63.0,14.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gemma,BE,547,0.923217550274223,0.8825503355704698,0.9740740740740741,0.9260563380281691,270.0,298.0,263.0,242.0,35.0,7.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gemma,CI,547,0.9872029250457038,0.375,0.6,0.4615384615384615,5.0,8.0,3.0,537.0,5.0,2.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gemma,BI,547,0.9926873857404022,0.5,1.0,0.6666666666666666,4.0,8.0,4.0,539.0,4.0,0.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gpt-oss,CE,547,0.8153564899451554,0.8084415584415584,0.8556701030927835,0.8313856427378964,291.0,308.0,249.0,197.0,59.0,42.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gpt-oss,BE,547,0.8354661791590493,0.9054054054054054,0.7444444444444445,0.8170731707317074,270.0,222.0,201.0,256.0,21.0,69.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gpt-oss,CI,547,0.979890310786106,0.25,0.6,0.35294117647058826,5.0,12.0,3.0,533.0,9.0,2.0
shopping_ebay_chat,comparative_counterexamples_fewshot/gpt-oss,BI,547,0.9890310786106032,0.0,0.0,0.0,4.0,2.0,0.0,541.0,2.0,4.0
shopping_ebay_chat,comparative_counterexamples_fewshot/nemotron,CE,547,0.6691042047531993,0.7925531914893617,0.5120274914089347,0.6221294363256784,291.0,188.0,149.0,217.0,39.0,142.0
shopping_ebay_chat,comparative_counterexamples_fewshot/nemotron,BE,547,0.7093235831809872,0.9302325581395349,0.4444444444444444,0.6015037593984962,270.0,129.0,120.0,268.0,9.0,150.0
shopping_ebay_chat,comparative_counterexamples_fewshot/nemotron,CI,547,0.9652650822669104,0.0625,0.2,0.09523809523809523,5.0,16.0,1.0,527.0,15.0,4.0
shopping_ebay_chat,comparative_counterexamples_fewshot/nemotron,BI,547,0.9762340036563071,0.0,0.0,0.0,4.0,9.0,0.0,534.0,9.0,4.0
shopping_ebay_chat,strict_evidence_fewshot/gemma,CE,547,0.8537477148080439,0.7922437673130194,0.9828178694158075,0.8773006134969324,291.0,361.0,286.0,181.0,75.0,5.0
shopping_ebay_chat,strict_evidence_fewshot/gemma,BE,547,0.8098720292504571,0.9510869565217391,0.6481481481481481,0.7709251101321587,270.0,184.0,175.0,268.0,9.0,95.0
shopping_ebay_chat,strict_evidence_fewshot/gemma,CI,547,0.9926873857404022,1.0,0.2,0.33333333333333337,5.0,1.0,1.0,542.0,0.0,4.0
shopping_ebay_chat,strict_evidence_fewshot/gemma,BI,547,0.9926873857404022,0.0,0.0,0.0,4.0,0.0,0.0,543.0,0.0,4.0
shopping_ebay_chat,strict_evidence_fewshot/gpt-oss,CE,547,0.8519195612431444,0.7966101694915254,0.9690721649484536,0.8744186046511628,291.0,354.0,282.0,184.0,72.0,9.0
shopping_ebay_chat,strict_evidence_fewshot/gpt-oss,BE,547,0.7751371115173674,0.9298245614035088,0.5888888888888889,0.7210884353741497,270.0,171.0,159.0,265.0,12.0,111.0
shopping_ebay_chat,strict_evidence_fewshot/gpt-oss,CI,547,0.9872029250457038,0.25,0.2,0.22222222222222224,5.0,4.0,1.0,539.0,3.0,4.0
shopping_ebay_chat,strict_evidence_fewshot/gpt-oss,BI,547,0.9926873857404022,0.0,0.0,0.0,4.0,0.0,0.0,543.0,0.0,4.0
shopping_ebay_chat,strict_evidence_fewshot/nemotron,CE,547,0.6636197440585009,0.8165680473372781,0.4742268041237113,0.6,291.0,169.0,138.0,225.0,31.0,153.0
shopping_ebay_chat,strict_evidence_fewshot/nemotron,BE,547,0.696526508226691,0.8939393939393939,0.43703703703703706,0.5870646766169154,270.0,132.0,118.0,263.0,14.0,152.0
shopping_ebay_chat,strict_evidence_fewshot/nemotron,CI,547,0.9561243144424132,0.0,0.0,0.0,5.0,19.0,0.0,523.0,19.0,5.0
shopping_ebay_chat,strict_evidence_fewshot/nemotron,BI,547,0.9908592321755028,0.0,0.0,0.0,4.0,1.0,0.0,542.0,1.0,4.0
